Politics and elections,2016-02-24,"South Korea's opposition holds a parliamentary filibuster, the first in the National Assembly since 1969, to block the current anti-terrorism bill that would expand National Intelligence Service powers. The opposition plans to continue until March 11, when the session is scheduled to end. "
Politics and elections,2016-02-28,"South Korean opposition lawmakers' anti-terrorism bill filibuster, which stops all other legislative business, extends its world record to 115 hours Sunday afternoon, easily besting Canada's 58-hour session in 2011. The major issue is giving South Korea's intelligence agency powers to monitor private communications. This parliamentary session is set to end March 11, with elections on April 13. "
#
Politics and elections,2016-03-04,Voters in Samoa go to the polls for a general election. 
Politics and elections,2016-03-05,Results from yesterday's election indicate that the ruling Human Rights Protection Party will retain power in a landslide. 
#
Sport,2016-10-22,"In rugby union, the New Zealand All Blacks win a record 18th consecutive test match, defeating the Australian Wallabies 37–10 at Eden Park, Kingsland, Auckland, New Zealand. "
Sport,2016-11-05,"In rugby union, Ireland defeat New Zealand 40–29 in Chicago. The win is Ireland's first ever over the All Blacks in 29 matches and 111 years, and also ends the All Blacks' record-setting Test match winning streak at 18. "
#
International relations,2016-01-13,"A major indication that relations between Cuba and the U.S. are increasingly normalized will be the island nation’s participation later this month at an annual Caribbean security conference in Jamaica, according to the outgoing head of the United States Southern Command, General John F. Kelly. "
International relations,2016-02-16,"The United States and Cuba sign an agreement restoring commercial air traffic between the two countries for the first time in 50 years. The U.S. Department of Transportation immediately opened bidding for as many as 110 U.S.-Cuba flights per day to Havana and nine other destinations. Travel from the U.S. is permitted in 12 authorized categories, which does not include tourism. "
International relations,2016-02-18,The President of the United States Barack Obama announces that he will visit Cuba next month becoming the first American president to visit Cuba since 1928. 
International relations,2016-03-01,"MLB announces the Tampa Bay Rays professional baseball team will play an exhibition game with the Cuban National Team on March 22, 2016, in Havana. United States President Barack Obama, who is scheduled to visit the island nation then, is expected to attend. "
International relations,2016-03-20,"U.S. President Barack Obama and the First Family begin their three-day visit to Havana, Cuba, to mark the end of 54 years of tensions in Cuba–United States relations. Obama is the first sitting U.S. president to visit the country since Calvin Coolidge in 1928. "
International relations,2016-03-21,"At a 55-minute joint press conference, following their two-hour closed door meeting, United States President Barrack Obama and Cuban President Raúl Castro agreed this “new day” of openness between the two countries benefits the entire hemisphere as well. Each acknowledged more needs to be done. Obama said he spoke frankly about human rights, free expression, and democracy; Castro said the U.S. needs to remove the military base at Guantanamo Bay, and completely end the U.S. embargo. Obama's experience gave him an advantage when journalists delved into sensitive areas. "
Arts and culture,2016-03-26,"British rock band The Rolling Stones performs in Havana, Cuba, playing an open-air free concert in the country, in what has been called a ''historic moment.'' Western music used to be banned in Cuba as being ''ideologically divergent.'' "
Business and economy,2016-04-18,"Carnival Cruise Lines says it will postpone its first cruise in 50 years from the United States to Havana, if Cuba does not waive its rule and allow Cuban-Americans passengers. Current Cuban law does not allow those born on the island to return by sea. "
International relations,2016-05-01,"The first cruise ship in more than a half-century bound for Havana from the United States leaves Miami, Florida, at about 4:24 p.m. EDT. Carnival Cruise Line's 704-passenger Adonia was able to set sail for the northern Caribbean country after Cuba, April 22, loosened its policy banning Cuban-born people from traveling to the country by sea. "
International relations,2016-06-10,"The U.S. Department of Commerce approves service by six commercial airlines from five U.S. cities, including Miami and Philadelphia, to nine international airports in Cuba. Approval for routes to the capital Havana are still pending. Most of the carriers plan to begin their new service this fall and winter. "
International relations,2016-07-07,"The United States tentatively approves eight, of 12 that applied, airlines for flights from 10 U.S. cities to Havana as early as this fall: Alaska Airlines, American Airlines, Delta Air Lines, Frontier Airlines, JetBlue Airways, Southwest Airlines, Spirit Airlines, and United Airlines. Last month, flights were approved from five U.S. cities to nine other international airports. "
International relations,2016-08-31,"The first commercial flight from the United States to Cuba since 1961 takes place as JetBlue Flight 387 lands in Santa Clara, Villa Clara province, after a 51-minute flight from Fort Lauderdale, Florida. JetBlue Flight 387 had 150 passengers, including United States Secretary of Transportation Anthony Foxx. "
International relations,2016-09-27,President Barack Obama nominates Jeffrey DeLaurentis as the first United States Ambassador to Cuba since 1961. 
International relations,2016-10-14,"President Barack Obama issues an executive order on Cuba lifting monetary limits on the amount of Cuban products, including cigars and rum, which Americans can bring back for personal use, allowing Cubans and Americans to engage in joint medical research, and allowing Cubans to buy certain U.S. consumer goods online. "
International relations,2016-10-26,"For the first time in 25 years, the United States abstains in a United Nations vote calling for an end to its Cuban economic embargo. "
#
Business and economy,2016-04-20,"Mitsubishi admits that its fuel efficiency tests broke Japanese rules for about 625,000 ''ultrasmall'' vehicles sold in Japan. "
Business and economy,2016-04-26,Mitsubishi Motors admits that it has used fuel economy measuring methods that have not complied with Japanese government regulations for 25 years. 
Business and economy,2016-04-28,The Japanese government announces that it will start testing mileage figures of Mitsubishi Motors vehicles following recent revelations that testing data had been manipulated over a 25-year period. 
#
